name,site,phone,full_address,borough,street,city,postal_code,state,country,latitude,longitude,reviews,reviews_tags,photo,street_view,working_hours
The Ritz London,https://www.theritzlondon.com/,+44 20 7493 8181,"150 Piccadilly, London W1J 9BR",None,150 Piccadilly,London,W1J 9BR,,United Kingdom of Great Britain and Northern Ireland,51.5070782,-0.1416273,7401,,https://lh3.googleusercontent.com/p/AF1QipOOjP08mg-fwuKKes3anzIkuJzcm1vN99yZGqDr=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOOjP08mg-fwuKKes3anzIkuJzcm1vN99yZGqDr=w1600-h1000-k-no,
"The Cadogan, A Belmond Hotel, London",https://www.belmond.com/hotels/europe/uk/london/belmond-cadogan-hotel/?utm_source=local_search,+44 20 7048 7141,"75 Sloane St, London SW1X 9SG",None,75 Sloane St,London,SW1X 9SG,,United Kingdom of Great Britain and Northern Ireland,51.4969698,-0.1592796,386,,https://lh3.googleusercontent.com/p/AF1QipNuPUjI3GmQGJE1nZaEPANQc9EQBcI5bxu-WpHm=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNuPUjI3GmQGJE1nZaEPANQc9EQBcI5bxu-WpHm=w1600-h1000-k-no,
Four Seasons Hotel London at Park Lane,https://www.fourseasons.com/london/?utm_source=google,+44 20 7499 0888,"Hamilton Pl, Park Ln, London W1J 7DR",None,"Hamilton Pl, Park Ln",London,W1J 7DR,,United Kingdom of Great Britain and Northern Ireland,51.5044599,-0.149999,1876,,https://lh3.googleusercontent.com/p/AF1QipOrXYOZeAzs-v205Mw0aS6NNdQSkFA0h_f5Boxu=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOrXYOZeAzs-v205Mw0aS6NNdQSkFA0h_f5Boxu=w1600-h1000-k-no,
The Lanesborough,https://www.oetkerhotels.com/hotels/the-lanesborough/?utm_source=google,+44 20 7259 5599,"Hyde Park Corner, Duke of Wellington Pl, London SW1X 7TA",None,"Hyde Park Corner, Duke of Wellington Pl",London,SW1X 7TA,,United Kingdom of Great Britain and Northern Ireland,51.502711,-0.1528275,1648,,https://lh3.googleusercontent.com/p/AF1QipNumgpNeTAZ9eOOAJfmh7OXt6DN7cusERskl2aI=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNumgpNeTAZ9eOOAJfmh7OXt6DN7cusERskl2aI=w1600-h1000-k-no,
The Goring,https://www.thegoring.com/?utm_source=google,+44 20 7396 9000,"15 Beeston Pl, London SW1W 0JW",None,15 Beeston Pl,London,SW1W 0JW,,United Kingdom of Great Britain and Northern Ireland,51.4975718,-0.1454684,1452,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGrfMf3ruecn8Z9Aqi_-mK7N9VfZXb9ejm5RazerhDE2WK7hHEpGfiac0w-HwEEzmNXSzvFbwkmUmjDh_5QI5cNt_7ImmUhViRYYC3KIR4usGQB6uyUcCTPFjnYYNEFi5RaF7coHenpiJXB2oucZ8i4-qMxu1isb2BFBuswS0nB17r6VWO_1TCFefUkO3K0KOKZMS0=w800-h500-k-no,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGrfMf3ruecn8Z9Aqi_-mK7N9VfZXb9ejm5RazerhDE2WK7hHEpGfiac0w-HwEEzmNXSzvFbwkmUmjDh_5QI5cNt_7ImmUhViRYYC3KIR4usGQB6uyUcCTPFjnYYNEFi5RaF7coHenpiJXB2oucZ8i4-qMxu1isb2BFBuswS0nB17r6VWO_1TCFefUkO3K0KOKZMS0=w1600-h1000-k-no,
The Landmark London,https://www.landmarklondon.co.uk/,+44 20 7631 8000,"222 Marylebone Rd, London NW1 6JQ",None,222 Marylebone Rd,London,NW1 6JQ,,United Kingdom of Great Britain and Northern Ireland,51.5214599,-0.1626027,4489,,https://lh3.googleusercontent.com/p/AF1QipOv-1Iecpflnj2cLuR_xE_uPcjF55Q3XhTn804N=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOv-1Iecpflnj2cLuR_xE_uPcjF55Q3XhTn804N=w1600-h1000-k-no,
Corinthia London,https://www.corinthia.com/london/?utm_source=gmb,+44 20 7930 8181,"Corinthia Hotel, 10 Whitehall Pl, London SW1A 2BD",None,"Corinthia Hotel, 10 Whitehall Pl",London,SW1A 2BD,,United Kingdom of Great Britain and Northern Ireland,51.5064603,-0.1243126,3609,,https://lh3.googleusercontent.com/p/AF1QipPDmcBjLGUMvGWKcs5pNSLPskMHFxPbbQ6bDblW=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPDmcBjLGUMvGWKcs5pNSLPskMHFxPbbQ6bDblW=w1600-h1000-k-no,
Portobello Hotel | A Curious Group of Hotels,https://www.portobellohotel.com/,+44 20 7727 2777,"22 Stanley Gardens, London W11 2NG",None,22 Stanley Gardens,London,W11 2NG,,United Kingdom of Great Britain and Northern Ireland,51.512265,-0.2034404,167,,https://lh3.googleusercontent.com/p/AF1QipNEdnvkl2i3RVXAwwDCwF3uzIX0-V6bKbArd__P=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNEdnvkl2i3RVXAwwDCwF3uzIX0-V6bKbArd__P=w1600-h1000-k-no,
"Brown's Hotel, a Rocco Forte hotel",https://www.roccofortehotels.com/hotels-and-resorts/brown-s-hotel/,+44 20 7493 6020,"33 Albemarle St, London W1S 4BP",None,33 Albemarle St,London,W1S 4BP,,United Kingdom of Great Britain and Northern Ireland,51.509131,-0.1421129,1530,,https://lh3.googleusercontent.com/p/AF1QipMiLmHBSEEIRlIhvfeyQX2Oj_5YCxSFx27GBwpw=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMiLmHBSEEIRlIhvfeyQX2Oj_5YCxSFx27GBwpw=w1600-h1000-k-no,
The Berkeley,https://www.the-berkeley.co.uk/?utm_source=google,+44 20 7235 6000,"Wilton Pl, London SW1X 7RL",None,Wilton Pl,London,SW1X 7RL,,United Kingdom of Great Britain and Northern Ireland,51.5018465,-0.1560608,1922,,https://lh3.googleusercontent.com/p/AF1QipMcUKvD88840A4DlCelB4nFz_SwRZbmu7QqDlOR=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMcUKvD88840A4DlCelB4nFz_SwRZbmu7QqDlOR=w1600-h1000-k-no,
